"symbol","asset_class","min_lot","step_lot","tick_value","tick_size","currency_profit","leverage","source_snapshot","commission","swap_or_funding"
"ADAUSD","crypto","0.10000000000000001","0.10000000000000001","0.0099999999999999985","0.0001","USD","100","2026-07-07","REQUIRED_EXTERNAL","REQUIRED_EXTERNAL"
"APTUSD","crypto","1","1","9.9999999999999991E-05","0.0001","USD","100","2026-07-07","REQUIRED_EXTERNAL","REQUIRED_EXTERNAL"
"ARBUSD","crypto","0.10000000000000001","0.10000000000000001","0.0001","1.0000000000000001E-05","USD","100","2026-07-07","REQUIRED_EXTERNAL","REQUIRED_EXTERNAL"
"AUDJPY","spot_fx","0.01","0.01","0.61979373264577553","0.001","JPY","100","2026-07-07","REQUIRED_EXTERNAL","REQUIRED_EXTERNAL"
"AUDUSD","spot_fx","0.01","0.01","1","1.0000000000000001E-05","USD","100","2026-07-07","REQUIRED_EXTERNAL","REQUIRED_EXTERNAL"
"BCHUSD","crypto","1","1","0.010000000000000002","0.10000000000000001","USD","100","2026-07-07","REQUIRED_EXTERNAL","REQUIRED_EXTERNAL"
"BNBUSD","crypto","100","100","0.0010000000000000002","0.10000000000000001","USD","100","2026-07-07","REQUIRED_EXTERNAL","REQUIRED_EXTERNAL"
"BTCUSD","crypto","1","1","0.0010000000000000002","0.10000000000000001","USD","100","2026-07-07","REQUIRED_EXTERNAL","REQUIRED_EXTERNAL"
"CFXUSD","crypto","1","1","0.0001","1.0000000000000001E-05","USD","100","2026-07-07","REQUIRED_EXTERNAL","REQUIRED_EXTERNAL"
"CROUSD","crypto","1","1","0.0001","1.0000000000000001E-05","USD","100","2026-07-07","REQUIRED_EXTERNAL","REQUIRED_EXTERNAL"
"CRVUSD","crypto","1","1","9.9999999999999991E-05","0.0001","USD","100","2026-07-07","REQUIRED_EXTERNAL","REQUIRED_EXTERNAL"
"DOTUSD","crypto","1","1","0.001","0.001","USD","100","2026-07-07","REQUIRED_EXTERNAL","REQUIRED_EXTERNAL"
"ETCUSD","crypto","0.01","0.01","0.01","0.001","USD","100","2026-07-07","REQUIRED_EXTERNAL","REQUIRED_EXTERNAL"
"ETHUSD","crypto","0.10000000000000001","0.10000000000000001","0.001","0.01","USD","100","2026-07-07","REQUIRED_EXTERNAL","REQUIRED_EXTERNAL"
"EURAUD","spot_fx","0.01","0.01","0.70074000000000014","1.0000000000000001E-05","AUD","100","2026-07-07","REQUIRED_EXTERNAL","REQUIRED_EXTERNAL"
"EURCAD","spot_fx","0.01","0.01","0.70648910240559548","1.0000000000000001E-05","CAD","100","2026-07-07","REQUIRED_EXTERNAL","REQUIRED_EXTERNAL"
"EURCHF","spot_fx","0.01","0.01","1.2378535619236244","1.0000000000000001E-05","CHF","100","2026-07-07","REQUIRED_EXTERNAL","REQUIRED_EXTERNAL"
"EURGBP","spot_fx","0.01","0.01","1.3222600000000002","1.0000000000000001E-05","GBP","100","2026-07-07","REQUIRED_EXTERNAL","REQUIRED_EXTERNAL"
"EURHUF","spot_fx","0.01","0.01","0.32556216446749425","0.001","HUF","100","2026-07-07","REQUIRED_EXTERNAL","REQUIRED_EXTERNAL"
"EURJPY","spot_fx","0.01","0.01","0.61979373264577553","0.001","JPY","100","2026-07-07","REQUIRED_EXTERNAL","REQUIRED_EXTERNAL"
"EURNOK","spot_fx","0.01","0.01","0.1028679586882278","1.0000000000000001E-05","NOK","100","2026-07-07","REQUIRED_EXTERNAL","REQUIRED_EXTERNAL"
"EURPLN","spot_fx","0.01","0.01","0.26895457357252361","1.0000000000000001E-05","PLN","100","2026-07-07","REQUIRED_EXTERNAL","REQUIRED_EXTERNAL"
