"video","model","coverage","duration_seconds","segments","rtf","language_probability","visual_contact_sheet"
"3. ЗВК. Спартак","tiny","full_audio_thematic","7114.339","2828","0.1418","1.0000","yes"
"Валютный трейдинг - правила спекуляций для рынка Форекс","tiny","full_audio_thematic","7386.384","2613","0.2814","1.0000","yes"
"Вопросы и Ответы","tiny","full_audio_thematic","6539.111","3194","0.1410","1.0000","yes"
"Ловушка или Разворотные моменты рынка","tiny","full_audio_thematic","5665.878","1901","0.2943","1.0000","yes"
"Ловушка или разворотные моменты рынка (ПЧ)","tiny","full_audio_thematic","6975.553","2311","0.2333","1.0000","yes"
"Природа и Источники Тренда","tiny","full_audio_thematic","8906.942","2288","0.1856","1.0000","yes"
"Психология Спартак","tiny","full_audio_thematic","9889.936","3371","0.2494","1.0000","yes"
"Технический анализ - основы принятия решений. Дивергенция","tiny","full_audio_thematic","5715.615","1823","0.2363","1.0000","yes"
"Торговая система трейдера ч.1 - вход в рынок и ограничение рисков","base","full_audio","6964.941","3162","0.3996","1.0000","yes"
"Торговая система трейдера ч.2 - правила взятия прибыли и управление торговой позицией","base","full_audio","6497.315","1426","0.3413","1.0000","yes"
"Торговая система трейдера ч.3 - оптимизация правил торговли и добавление фильтров","base","full_audio","5112.941","1016","0.3364","1.0000","yes"
