symbol,bars,first_time,last_time,digits,point,gaps,spread_p50_points,spread_p95_points,spread_p99_points,m15_bars,m15_incomplete,h1_bars,h1_incomplete,warnings
ADAUSD,210417,1704078000,1767225600,4,0.0001,12,0.00,3.00,7.00,70147,16,17541,18,0
APTUSD,210417,1704078000,1767225600,4,0.000100000000,12,0.00,3.00,7.00,70147,16,17541,18,0
ARBUSD,210417,1704078000,1767225600,5,0.000010000000,12,0.00,3.00,3.00,70147,16,17541,18,0
AUDJPY,70005,1737651300,1767225300,3,0.001000000000,85,4.00,27.00,128.00,23353,48,5840,39,0
AUDUSD,1922437,946854000,1767225300,5,0.000010000000,9007,15.00,50.00,50.00,644173,8267,161385,5961,0
BCHUSD,210351,1704078000,1767225600,1,0.100000000000,13,0.00,3.00,7.00,70126,18,17536,20,0
BNBUSD,210135,1704078000,1767225600,1,0.100000000000,15,0.00,3.00,7.00,70054,18,17518,20,0
BTCUSD,631131,1577844000,1767225600,1,0.100000000000,13,0.00,201.00,201.00,210386,18,52601,20,0
CFXUSD,210351,1704078000,1767225600,5,0.000010000000,13,0.00,3.00,3.00,70126,18,17536,20,0
CROUSD,91051,1739868000,1767225600,5,0.000010000000,13,0.00,3.00,3.00,30360,19,7595,21,0
CRVUSD,51943,1751579400,1767225600,4,0.000100000000,16,3.00,7.00,7.00,17327,25,4339,26,0
DOTUSD,210351,1704078000,1767225600,3,0.001000000000,13,0.00,3.00,7.00,70126,18,17536,20,0
ETCUSD,210351,1704078000,1767225600,3,0.001000000000,13,0.00,3.00,7.00,70126,18,17536,20,0
ETHUSD,631131,1577844000,1767225600,2,0.010000000000,13,0.00,101.00,101.00,210386,18,52601,20,0
EURAUD,70039,1737651300,1767225300,5,0.000010000000,59,5.00,39.00,200.00,23353,17,5840,16,0
EURCAD,1385925,946857600,1767225300,5,0.000010000000,3190,18.00,130.00,150.00,463491,2473,117340,2433,0
EURCHF,70020,1737651300,1767225300,5,0.000010000000,76,3.00,30.00,200.00,23352,33,5840,33,0
EURGBP,69983,1737651300,1767225300,5,0.000010000000,98,1.00,20.00,73.00,23351,61,5840,54,0
EURHUF,781424,1420153200,1767225300,3,0.001000000000,14730,206.00,662.00,1238.00,267255,14697,67956,8833,0
EURJPY,70025,1737651300,1767225300,3,0.001000000000,74,4.00,31.00,134.00,23353,30,5840,29,0
EURNOK,68947,1737733800,1767225300,5,0.000010000000,399,53.00,232.00,487.00,23149,351,5814,204,0
EURPLN,799320,1420153200,1767225300,5,0.000010000000,10212,239.00,730.00,1252.00,270821,10037,68160,6363,0
EURSEK,69019,1737733800,1767225300,5,0.000010000000,396,532.00,1600.00,3556.82,23191,408,5815,241,0
EURUSD,1931460,946857600,1767225300,5,0.000010000000,3574,10.00,50.00,50.00,644930,2631,161461,2162,0
FILUSD,172811,1715340000,1767225600,4,0.000100000000,13,0.00,3.00,7.00,57613,19,14408,21,0
GBPJPY,70007,1737651300,1767225300,3,0.001000000000,76,9.00,40.00,255.00,23349,35,5839,33,0
GBPUSD,1926298,946857600,1767225300,5,0.000010000000,5898,15.00,50.00,50.00,644191,5037,161351,3799,0
ICPUSD,210351,1704078000,1767225600,3,0.001000000000,13,0.00,3.00,7.00,70126,18,17536,20,0
INJUSD,210351,1704078000,1767225600,3,0.001000000000,13,0.00,3.00,3.00,70126,18,17536,20,0
JTOUSD,208252,1704707700,1767225600,4,0.000100000000,13,0.00,3.00,3.00,69427,19,17362,21,0
JUPUSD,201518,1706727900,1767225600,4,0.000100000000,13,0.00,3.00,3.00,67182,19,16800,21,0
LDOUSD,144751,1723758000,1767225600,4,0.000100000000,13,0.00,3.00,3.00,48260,19,12070,21,0
LTCUSD,205651,1705488000,1767225600,2,0.010000000000,13,0.00,3.00,7.00,68560,19,17145,21,0
NZDUSD,1829758,946864800,1767225300,5,0.000010000000,21291,15.00,80.00,80.00,618393,20870,155039,13462,0
PI-USD,90435,1740052800,1767225600,4,0.000100000000,13,0.00,3.00,3.00,30154,18,7543,20,0
POLUSD,131531,1727724000,1767225600,5,0.000010000000,13,0.00,3.00,3.00,43853,19,10968,21,0
SOLUSD,557019,1600077600,1767225600,2,0.010000000000,13,0.00,3.00,3.00,185682,18,46425,20,0
STXUSD,67420,1746980100,1767225600,4,0.000100000000,11,3.00,3.00,3.00,22481,15,5624,17,0
SUIUSD,148457,1722669000,1767225600,4,0.000100000000,11,0.00,3.00,3.00,49494,16,12377,17,0
TAOUSD,100391,1737088800,1767225600,1,0.100000000000,11,0.00,3.00,3.00,33472,16,8372,17,0
TIAUSD,140837,1724955000,1767225600,4,0.000100000000,11,0.00,3.00,3.00,46954,16,11742,17,0
TRXUSD,120277,1731123000,1767225600,5,0.000010000000,11,0.00,3.00,7.00,40100,15,10029,17,0
UNIUSD,144917,1723731000,1767225600,3,0.001000000000,11,0.00,3.00,7.00,48314,16,12082,17,0
USDCAD,1894908,946865700,1767225300,5,0.000010000000,26211,6.00,50.00,60.00,642401,25884,161197,15524,0
USDCHF,1924617,946857600,1767225300,5,0.000010000000,7170,8.00,60.00,100.00,644036,6268,161200,4723,0
USDCNH,732510,1282521600,1767225600,5,0.000010000000,6125,127.00,276.00,571.00,247241,5841,63394,4381,0
USDHKD,1211393,1184085300,1767225300,5,0.000010000000,61605,47.00,165.00,223.00,431265,62748,110086,34704,0
USDJPY,1928512,946857600,1767225300,3,0.001000000000,4721,4.00,50.00,50.00,644323,3736,161238,2977,0
USDMXN,69095,1737733800,1767225300,5,0.000010000000,418,30.00,92.00,390.00,23221,415,5817,210,0
USDNOK,1469079,1139194500,1767225300,5,0.000010000000,2709,19.00,80.00,240.00,490484,1858,122789,1502,0
USDSEK,1188116,946857600,1767225300,5,0.000010000000,6892,245.00,970.00,2230.00,400043,6290,104198,6147,0
USDSGD,1423435,1136889900,1767225300,5,0.000010000000,34734,12.00,74.00,127.00,489686,34675,123469,18690,0
WLDUSD,184177,1711953000,1767225600,4,0.000100000000,11,0.00,3.00,3.00,61400,15,15354,17,0
XAGEUR,586035,1184896800,1767225300,3,0.001000000000,5835,19.00,30.00,37.00,197914,4030,52223,4064,0
XAGUSD,586389,1204254000,1767225300,3,0.001000000000,5808,15.00,30.00,35.00,197954,3955,52105,3961,0
XAUEUR,65074,1737733800,1767225300,2,0.010000000000,248,13.00,32.00,72.00,21789,281,5465,306,0
XAUUSD,585844,1205200800,1767225300,2,0.010000000000,5657,9.00,20.00,41.00,197743,3848,52074,3870,0
XLMUSD,210427,1704078000,1767225600,5,0.000010000000,11,0.00,3.00,7.00,70150,15,17541,16,0
XPDUSD,617164,1377216000,1767225300,2,0.010000000000,17324,492.00,1650.00,2422.00,214556,16102,60302,13548,0
XRPUSD,210427,1704078000,1767225600,4,0.000100000000,11,0.00,3.00,7.00,70150,15,17541,16,0
XTZUSD,136349,1726301400,1767225600,4,0.000100000000,11,0.00,3.00,7.00,45458,16,11368,17,0
ZROUSD,129109,1728473400,1767225600,3,0.001000000000,11,0.00,3.00,3.00,43044,15,10765,17,0
